adduser	3.153ubuntu1
apt	3.2.0
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bsdutils	1:2.41.3-3ubuntu2
ca-certificates	20260601~26.04.1
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
curl	8.18.0-1ubuntu2.4
dash	0.5.12-12ubuntu3
debconf	1.5.92
debianutils	5.23.2build1
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
dpkg	1.23.7ubuntu1
e2fsprogs	1.47.2-3ubuntu4
findutils	4.10.0-3build2
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-mono	2.37-8build1
gcc-16-base	16-20260322-1ubuntu1
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
gzip	1.14-1~exp2ubuntu1.1
hostname	3.25build1
init-system-helpers	1.69
libacl1	2.3.2-2
libapt-pkg7.0	3.2.0
libassuan9	3.0.2-2build1
libattr1	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1	1:4.1.2-1build1
libblkid1	2.41.3-3ubuntu2
libbrotli1	1.2.0-3build1
libbsd0	0.12.2-2build2
libbz2-1.0	1.0.8-6build2
libc-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra	2.43-2ubuntu2.3
libc6	2.43-2ubuntu2.3
libcap-ng0	0.8.5-4build5
libcom-err2	1.47.2-3ubuntu4
libcrypt1	1:4.5.1-1
libcurl4t64	8.18.0-1ubuntu2.4
libdb5.3t64	5.3.28+dfsg2-10ubuntu1
libdebconfclient0	0.280ubuntu1
libexpat1	2.7.4-1
libext2fs2t64	1.47.2-3ubuntu4
libffi8	3.5.2-4
libfontconfig1	2.17.1-3ubuntu1
libfreetype6	2.14.2+dfsg-1ubuntu0.1
libgcc-s1	16-20260322-1ubuntu1
libgcrypt20	1.12.0-2ubuntu1
libgmp10	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64	3.8.12-2ubuntu1.1
libgpg-error0	1.58-2
libgssapi-krb5-2	1.22.1-2ubuntu4.1
libhogweed6t64	3.10.2-1
libidn2-0	2.3.8-4build1
libk5crypto3	1.22.1-2ubuntu4.1
libkeyutils1	1.6.3-6ubuntu3
libkrb5-3	1.22.1-2ubuntu4.1
libkrb5support0	1.22.1-2ubuntu4.1
libksba8	1.6.7-2build1
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2	2.6.10+dfsg-1ubuntu5
liblz4-1	1.10.0-8
liblzma5	5.8.3-1
libmd0	1.1.0-2build4
libmount1	2.41.3-3ubuntu2
libncursesw6	6.6+20251231-1
libnettle8t64	3.10.2-1
libnghttp2-14	1.68.0-2ubuntu0.2
libnpth0t64	1.8-3build1
libp11-kit0	0.26.2-2
libpam-modules	1.7.0-5ubuntu3.1
libpam-modules-bin	1.7.0-5ubuntu3.1
libpam-runtime	1.7.0-5ubuntu3.1
libpam0g	1.7.0-5ubuntu3.1
libpcre2-8-0	10.46-1build1
libpng16-16t64	1.6.57-1
libproc2-0	2:4.0.4-9ubuntu1
libpsl5t64	0.21.2-1.1build2
libreadline8t64	8.3-4
librtmp1	2.4+20151223.gitfa8646d.1-3
libsasl2-2	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3
libseccomp2	2.6.0-2ubuntu5
libselinux1	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2	3.9-1build1
libsepol2	3.9-2
libsmartcols1	2.41.3-3ubuntu2
libsqlite3-0	3.46.1-9ubuntu0.2
libss2	1.47.2-3ubuntu4
libssh2-1t64	1.11.1-1ubuntu0.26.04.3
libssl3t64	3.5.5-1ubuntu3.3
libstdc++6	16-20260322-1ubuntu1
libsystemd0	259.5-0ubuntu3.4
libtasn1-6	4.21.0-2
libtinfo6	6.6+20251231-1
libudev1	259.5-0ubuntu3.4
libunistring5	1.3-2build1
libuuid1	2.41.3-3ubuntu2
libxxhash0	0.8.3-2build1
libzstd1	1.5.7+dfsg-3
locales	2.43-2ubuntu2.3
login	1:4.16.0-2+really2.41.3-3ubuntu2
login.defs	1:4.17.4-2ubuntu3
logsave	1.47.2-3ubuntu4
mawk	1.3.4.20260129-1
mount	2.41.3-3ubuntu2
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
openssl	3.5.5-1ubuntu3.3
openssl-provider-legacy	3.5.5-1ubuntu3.3
p11-kit	0.26.2-2
p11-kit-modules	0.26.2-2
passwd	1:4.17.4-2ubuntu3
perl-base	5.40.1-7ubuntu0.1
pinentry-curses	1.3.2-3ubuntu1
procps	2:4.0.4-9ubuntu1
readline-common	8.3-4
rust-coreutils	0.8.0-0ubuntu3
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4
tzdata	2026c-0ubuntu0.26.04.1
ubuntu-keyring	2023.11.28.1build1
util-linux	2.41.3-3ubuntu2
wget	1.25.0-2ubuntu4.4
zlib1g	1:1.3.dfsg+really1.3.1-1ubuntu3
